samples,run,guessed_password,success,runtime_ns,avg_gap_ns,avg_gap_ratio
201,1,r4ndocegHe,false,110761653084,99878,613.6511208708339
201,2,r4ndoxNrex,false,112664598041,169240.5,609.792036375026
201,3,r4ndomP@ss,true,141958280250,192868.8,602.9323778983505
201,4,r4ndomP@s%,false,142875334458,149866,597.0916943134254
201,5,r4ndomPWZP,false,133676971750,208919.7,619.7712299798948
201,6,r4ndomP@#c,false,138343867625,178606.3,630.0078521822195
201,7,r4ndomo&kY,false,123578858125,176620.1,610.0500278356395
201,8,r4ndomP@s8,false,139757262667,174216.1,567.773522194964
201,9,r4ndomP@ss,true,139060210250,169388.8,618.67817356321
201,10,r4ndomP@ss,true,138002483167,188403.2,593.1490643347684
201,11,r4ndomP@ss,true,137988765708,189572.9,627.4027029776208
201,12,r4ndomP@ss,true,137423792042,195508.4,509.51171797313265
201,13,r4ndomP@ss,true,137406401875,203414.8,595.759309772555
201,14,r4ndomP@ss,true,138247081375,170185.9,593.5838390521074
201,15,r4ndomP@ss,true,138216996000,182019,626.5167626735057
201,16,r4ndomP@ss,true,137608804000,197594.4,596.2189894882447
201,17,r4ndomP@ss,true,137803740125,193584.5,609.018036630912
201,18,r4ndomP@ss,true,137422750917,199733.6,593.029220369463
201,19,r4nd$NdfPX,false,93218013625,104404.6,609.7333454280888
201,20,r4ndomP@ss,true,137870772584,201112.9,609.6273648630778
201,21,r4ndomP@ss,true,137429681417,206009.9,608.6870349829717
201,22,r4ndomP@ss,true,139294273708,179617.3,560.6188123748824
201,23,r4ndomP@ss,true,139275394125,156014.1,606.3831904400892
201,24,r4ndvHb2Ke,false,94443014166,124739.9,592.4387258839326
201,25,r4ndomP@ss,true,137505220125,194041.2,608.3933021436967
201,26,r4ndomP$qa,false,128416499208,145513.7,592.4510639161884
201,27,r4ndomP@ss,true,138329799291,184235.9,592.4019813222646
201,28,r4ndomP@ss,true,137445509375,203005.4,614.5558624044266
201,29,r4nIJ3%da8,false,75180360917,90380.4,612.4882636175737
201,30,r4ndomP@ss,true,138176761125,192157.5,591.3202069707488
201,31,r4ndomP@ss,true,139327966625,185055.2,595.2187880227076
201,32,r4ndomP@ss,true,138505740666,197463.4,630.8152670578046
201,33,r4ndomP@ss,true,139313768125,175362.9,595.8770133909385
201,34,r4nYBjhy^l,false,75239664000,80861.1,609.6564015225736
201,35,r4ndomL27s,false,121340100167,134616.6,609.9842058490242
